CustomerID,FirstName,LastName,SalesID,ProductID,ProductName,Quantity
61288,Rosa,Andersen,134196,229,Bread - Hot Dog Buns,16
77352,Myron,Murray,6167892,229,Bread - Hot Dog Buns,20
40094,Susan,Stevenson,5970885,229,Bread - Hot Dog Buns,11
23548,Tricia,Vincent,6426954,229,Bread - Hot Dog Buns,6
78981,Scott,Burch,819094,229,Bread - Hot Dog Buns,20
83106,Hope,Bowers,6484922,229,Bread - Hot Dog Buns,22
11253,Nicolas,Holmes,4878478,229,Bread - Hot Dog Buns,3
35107,Judith,Miranda,2353899,229,Bread - Hot Dog Buns,9
15088,Ruby,Lowe,37021,229,Bread - Hot Dog Buns,4
26031,Josephine,Curry,2327232,229,Bread - Hot Dog Buns,7
26031,Josephine,Curry,2634983,229,Bread - Hot Dog Buns,7
86595,Emily,Huff,248932,229,Bread - Hot Dog Buns,22
46715,Angelo,Ballard,1630185,229,Bread - Hot Dog Buns,12
91013,Toni,Hayden,3952547,229,Bread - Hot Dog Buns,24
69931,Jennie,Bishop,4638141,229,Bread - Hot Dog Buns,18
19753,Alana,Carroll,4143712,229,Bread - Hot Dog Buns,6
9546,Dianna,Cline,62517,229,Bread - Hot Dog Buns,3
10224,Stacie,Larson,436036,229,Bread - Hot Dog Buns,3
72846,Carlton,Cowan,5428647,229,Bread - Hot Dog Buns,19
28976,Gabrielle,Vaughan,4404856,229,Bread - Hot Dog Buns,8
3267,Lana,O'Connell,5569884,229,Bread - Hot Dog Buns,1
19260,Krista,Leon,4254646,229,Bread - Hot Dog Buns,5
76530,Clayton,Avila,5538267,229,Bread - Hot Dog Buns,20
30196,Craig,Wells,1815825,229,Bread - Hot Dog Buns,8
48818,Jeremy,Morris,37689,229,Bread - Hot Dog Buns,13
15166,Deanna,Hogan,347467,229,Bread - Hot Dog Buns,4
11443,Kristine,Hayden,3232467,229,Bread - Hot Dog Buns,3
79060,Colleen,Erickson,1685580,229,Bread - Hot Dog Buns,21
82597,Philip,Juarez,4987742,229,Bread - Hot Dog Buns,21
62411,Janet,Harmon,6273479,229,Bread - Hot Dog Buns,16
42611,Ericka,Warren,3176726,229,Bread - Hot Dog Buns,11
45420,Robyn,Savage,6123976,229,Bread - Hot Dog Buns,12
83495,Marshall,Stokes,1200597,229,Bread - Hot Dog Buns,22
47122,Timmy,Santiago,5888062,229,Bread - Hot Dog Buns,12
30815,Bennie,James,1483939,229,Bread - Hot Dog Buns,8
53198,Israel,Moyer,2527253,229,Bread - Hot Dog Buns,14
18591,Marcie,Choi,2479338,229,Bread - Hot Dog Buns,5
62034,Melody,Mc Clure,1117286,229,Bread - Hot Dog Buns,16
1428,Jody,Kirby,4385283,229,Bread - Hot Dog Buns,1
2187,Ruben,Kane,2211877,229,Bread - Hot Dog Buns,1
55162,Felicia,Arnold,5540983,229,Bread - Hot Dog Buns,14
22345,Guy,Berg,1593460,229,Bread - Hot Dog Buns,6
81876,Mario,Holland,2295509,229,Bread - Hot Dog Buns,21
48641,Angelina,Stevenson,4776147,229,Bread - Hot Dog Buns,13
81034,Alissa,Andrade,699921,229,Bread - Hot Dog Buns,21
29681,Philip,Manning,5641494,229,Bread - Hot Dog Buns,8
